,CWE,CVE,CVSS_V3_baseScore,CVSS_V3_exploitabilityScore,CVSS_V3_attackComplexity,CVSS_V3_privilegesRequired,CVSS_V3_userInteraction
57,CWE-772,CVE-2019-0059,7.5,3.9,LOW,NONE,NONE
58,CWE-755,CVE-2019-0060,7.5,3.9,LOW,NONE,NONE
59,NVD-CWE-noinfo,CVE-2019-0061,7.8,1.8,LOW,LOW,NONE
60,CWE-384,CVE-2019-0062,8.8,2.8,LOW,NONE,REQUIRED
61,CWE-20,CVE-2019-0063,7.5,3.9,LOW,NONE,NONE
62,CWE-20,CVE-2019-0064,7.5,3.9,LOW,NONE,NONE
63,CWE-20,CVE-2019-0065,7.5,3.9,LOW,NONE,NONE
64,CWE-20,CVE-2019-0066,7.5,3.9,LOW,NONE,NONE
65,CWE-20,CVE-2019-0067,6.5,2.8,LOW,NONE,NONE
66,CWE-754,CVE-2019-0068,7.5,3.9,LOW,NONE,NONE
67,CWE-319,CVE-2019-0069,5.5,1.8,LOW,LOW,NONE
68,CWE-20,CVE-2019-0070,8.8,2.0,LOW,LOW,NONE
69,CWE-354,CVE-2019-0071,7.8,1.8,LOW,LOW,NONE
70,CWE-522,CVE-2019-0072,5.5,1.8,LOW,LOW,NONE
71,CWE-281,CVE-2019-0073,7.1,1.8,LOW,LOW,NONE
72,CWE-22,CVE-2019-0074,5.5,1.8,LOW,LOW,NONE
73,NVD-CWE-noinfo,CVE-2019-0075,7.5,3.9,LOW,NONE,NONE
74,CWE-59,CVE-2019-0086,7.8,1.8,LOW,LOW,NONE
75,CWE-732,CVE-2019-0086,7.8,1.8,LOW,LOW,NONE
76,NVD-CWE-noinfo,CVE-2019-0088,7.8,1.8,LOW,LOW,NONE
77,CWE-19,CVE-2019-0089,6.7,0.8,LOW,HIGH,NONE
78,NVD-CWE-noinfo,CVE-2019-0090,7.1,0.5,HIGH,NONE,NONE
79,CWE-94,CVE-2019-0091,7.8,1.8,LOW,LOW,NONE
80,CWE-20,CVE-2019-0092,6.8,0.9,LOW,NONE,NONE
81,NVD-CWE-noinfo,CVE-2019-0093,4.4,0.8,LOW,HIGH,NONE
82,CWE-20,CVE-2019-0094,4.3,2.8,LOW,NONE,NONE
83,CWE-787,CVE-2019-0096,8.0,2.1,LOW,LOW,NONE
84,CWE-20,CVE-2019-0097,4.9,1.2,LOW,HIGH,NONE
85,NVD-CWE-noinfo,CVE-2019-0098,6.8,0.9,LOW,NONE,NONE
86,NVD-CWE-noinfo,CVE-2019-0099,6.8,0.9,LOW,NONE,NONE
87,NVD-CWE-noinfo,CVE-2019-0101,9.8,3.9,LOW,NONE,NONE
88,CWE-384,CVE-2019-0102,8.8,2.8,LOW,NONE,NONE
89,NVD-CWE-noinfo,CVE-2019-0103,5.5,1.8,LOW,LOW,NONE
90,NVD-CWE-noinfo,CVE-2019-0104,5.5,1.8,LOW,LOW,NONE
91,CWE-863,CVE-2019-0105,7.8,1.8,LOW,LOW,NONE
92,CWE-20,CVE-2019-0106,6.7,0.8,LOW,HIGH,NONE
93,NVD-CWE-noinfo,CVE-2019-0107,6.7,0.8,LOW,HIGH,NONE
94,CWE-732,CVE-2019-0108,5.5,1.8,LOW,LOW,NONE
95,NVD-CWE-noinfo,CVE-2019-0109,7.8,1.8,LOW,LOW,NONE
96,NVD-CWE-noinfo,CVE-2019-0110,5.5,1.8,LOW,LOW,NONE
97,CWE-732,CVE-2019-0111,5.5,1.8,LOW,LOW,NONE
98,CWE-20,CVE-2019-0112,4.4,0.8,LOW,HIGH,NONE
99,CWE-119,CVE-2019-0113,5.5,1.8,LOW,LOW,NONE
100,CWE-362,CVE-2019-0114,4.7,1.0,HIGH,LOW,NONE
101,CWE-20,CVE-2019-0115,5.5,1.8,LOW,LOW,NONE
102,CWE-125,CVE-2019-0116,4.4,0.8,LOW,HIGH,NONE
103,NVD-CWE-noinfo,CVE-2019-0117,4.4,0.8,LOW,HIGH,NONE
104,CWE-119,CVE-2019-0119,6.7,0.8,LOW,HIGH,NONE
105,CWE-522,CVE-2019-0120,4.4,0.8,LOW,HIGH,NONE
106,CWE-264,CVE-2019-0121,7.8,1.8,LOW,LOW,NONE
107,CWE-415,CVE-2019-0122,7.1,1.8,LOW,LOW,NONE
108,CWE-119,CVE-2019-0123,7.8,1.8,LOW,LOW,NONE
109,CWE-119,CVE-2019-0124,7.8,1.8,LOW,LOW,NONE
110,NVD-CWE-noinfo,CVE-2019-0126,6.7,0.8,LOW,HIGH,NONE
111,NVD-CWE-noinfo,CVE-2019-0127,3.9,0.3,LOW,HIGH,NONE
112,CWE-264,CVE-2019-0128,7.8,1.8,LOW,LOW,NONE
113,CWE-264,CVE-2019-0129,7.8,1.8,LOW,LOW,NONE
114,CWE-79,CVE-2019-0130,7.4,2.8,LOW,NONE,REQUIRED
115,CWE-20,CVE-2019-0131,8.1,2.8,LOW,NONE,NONE
116,CWE-20,CVE-2019-0132,7.5,3.9,LOW,NONE,NONE
117,CWE-276,CVE-2019-0134,7.8,1.8,LOW,LOW,NONE
118,CWE-264,CVE-2019-0135,7.8,1.8,LOW,LOW,NONE
119,NVD-CWE-noinfo,CVE-2019-0136,7.4,2.8,LOW,NONE,NONE
120,CWE-732,CVE-2019-0138,7.8,1.8,LOW,LOW,NONE
121,CWE-269,CVE-2019-0139,6.7,0.8,LOW,HIGH,NONE
122,CWE-120,CVE-2019-0140,8.8,2.8,LOW,NONE,NONE
123,CWE-269,CVE-2019-0142,8.2,1.5,LOW,HIGH,NONE
124,CWE-755,CVE-2019-0143,5.5,1.8,LOW,LOW,NONE
125,CWE-755,CVE-2019-0144,6.5,2.0,LOW,LOW,NONE
126,CWE-120,CVE-2019-0145,7.8,1.8,LOW,LOW,NONE
127,CWE-772,CVE-2019-0146,5.5,1.8,LOW,LOW,NONE
128,CWE-20,CVE-2019-0147,5.5,1.8,LOW,LOW,NONE
129,CWE-772,CVE-2019-0148,5.5,1.8,LOW,LOW,NONE
130,CWE-20,CVE-2019-0149,5.5,1.8,LOW,LOW,NONE
131,NVD-CWE-noinfo,CVE-2019-0150,5.1,0.8,LOW,HIGH,NONE
132,CWE-119,CVE-2019-0151,6.7,0.8,LOW,HIGH,NONE
133,CWE-119,CVE-2019-0152,6.7,0.8,LOW,HIGH,NONE
134,CWE-119,CVE-2019-0153,9.8,3.9,LOW,NONE,NONE
135,NVD-CWE-noinfo,CVE-2019-0154,5.5,1.8,LOW,LOW,NONE
136,CWE-269,CVE-2019-0155,7.8,1.8,LOW,LOW,NONE
137,CWE-20,CVE-2019-0157,5.5,1.8,LOW,LOW,NONE
138,NVD-CWE-noinfo,CVE-2019-0158,7.8,1.8,LOW,LOW,NONE
139,NVD-CWE-noinfo,CVE-2019-0159,7.8,1.8,LOW,LOW,NONE
140,CWE-119,CVE-2019-0160,9.8,3.9,LOW,NONE,NONE
141,CWE-787,CVE-2019-0161,5.5,1.8,LOW,LOW,NONE
142,NVD-CWE-noinfo,CVE-2019-0162,3.8,2.0,LOW,LOW,NONE
143,CWE-20,CVE-2019-0163,8.2,1.5,LOW,HIGH,NONE
144,CWE-264,CVE-2019-0164,7.3,1.3,LOW,LOW,REQUIRED
145,CWE-20,CVE-2019-0165,4.4,0.8,LOW,HIGH,NONE
146,CWE-20,CVE-2019-0166,7.5,3.9,LOW,NONE,NONE
147,CWE-20,CVE-2019-0168,4.4,0.8,LOW,HIGH,NONE
148,CWE-787,CVE-2019-0169,8.8,2.8,LOW,NONE,NONE
149,CWE-119,CVE-2019-0170,6.7,0.8,LOW,HIGH,NONE
150,CWE-732,CVE-2019-0171,7.8,1.8,LOW,LOW,NONE
151,NVD-CWE-noinfo,CVE-2019-0172,9.8,3.9,LOW,NONE,NONE
152,NVD-CWE-noinfo,CVE-2019-0173,7.6,2.8,LOW,NONE,REQUIRED
153,NVD-CWE-noinfo,CVE-2019-0174,3.3,1.8,LOW,LOW,NONE
154,CWE-522,CVE-2019-0175,4.4,1.8,LOW,LOW,NONE
155,NVD-CWE-noinfo,CVE-2019-0177,4.4,1.8,LOW,LOW,NONE
156,CWE-362,CVE-2019-0178,3.6,1.0,HIGH,LOW,NONE
157,CWE-522,CVE-2019-0179,4.4,1.8,LOW,LOW,NONE
158,CWE-522,CVE-2019-0180,4.4,1.8,LOW,LOW,NONE
159,NVD-CWE-noinfo,CVE-2019-0181,6.7,0.8,LOW,HIGH,NONE
160,CWE-522,CVE-2019-0182,3.3,1.8,LOW,LOW,NONE
161,CWE-522,CVE-2019-0183,3.3,1.8,LOW,LOW,NONE
162,NVD-CWE-noinfo,CVE-2019-0184,5.5,1.8,LOW,LOW,NONE
163,NVD-CWE-noinfo,CVE-2019-0185,5.5,1.8,LOW,LOW,NONE
164,CWE-79,CVE-2019-0186,6.1,2.8,LOW,NONE,REQUIRED
165,CWE-327,CVE-2019-0187,9.8,3.9,LOW,NONE,NONE
166,CWE-502,CVE-2019-0187,9.8,3.9,LOW,NONE,NONE
167,CWE-611,CVE-2019-0188,7.5,3.9,LOW,NONE,NONE
168,CWE-502,CVE-2019-0189,9.8,3.9,LOW,NONE,NONE
169,NVD-CWE-noinfo,CVE-2019-0190,7.5,3.9,LOW,NONE,NONE
170,CWE-22,CVE-2019-0191,6.5,2.8,LOW,LOW,NONE
171,CWE-502,CVE-2019-0192,9.8,3.9,LOW,NONE,NONE
172,CWE-94,CVE-2019-0193,7.2,1.2,LOW,HIGH,NONE
173,CWE-22,CVE-2019-0194,7.5,3.9,LOW,NONE,NONE
174,CWE-502,CVE-2019-0195,9.8,3.9,LOW,NONE,NONE
175,CWE-416,CVE-2019-0196,5.3,3.9,LOW,NONE,NONE
176,CWE-444,CVE-2019-0197,4.2,1.6,HIGH,LOW,NONE
177,CWE-400,CVE-2019-0199,7.5,3.9,LOW,NONE,NONE
178,CWE-20,CVE-2019-0200,7.5,3.9,LOW,NONE,NONE
179,CWE-862,CVE-2019-0201,5.9,2.2,HIGH,NONE,NONE
180,CWE-532,CVE-2019-0202,7.5,3.9,LOW,NONE,NONE
181,CWE-20,CVE-2019-0203,7.5,3.9,LOW,NONE,NONE
182,CWE-20,CVE-2019-0204,7.8,1.8,LOW,NONE,REQUIRED
183,CWE-835,CVE-2019-0205,7.5,3.9,LOW,NONE,NONE
184,CWE-22,CVE-2019-0207,7.5,3.9,LOW,NONE,NONE
185,CWE-125,CVE-2019-0210,7.5,3.9,LOW,NONE,NONE
186,CWE-416,CVE-2019-0211,7.8,1.8,LOW,LOW,NONE
187,NVD-CWE-noinfo,CVE-2019-0212,7.5,1.6,HIGH,LOW,NONE
188,CWE-79,CVE-2019-0213,6.5,2.8,LOW,LOW,NONE
189,CWE-20,CVE-2019-0214,6.5,2.8,LOW,LOW,NONE
190,NVD-CWE-noinfo,CVE-2019-0215,7.5,1.6,HIGH,LOW,NONE
191,CWE-79,CVE-2019-0216,4.8,1.7,LOW,HIGH,REQUIRED
192,CWE-362,CVE-2019-0217,7.5,1.6,HIGH,LOW,NONE
193,CWE-79,CVE-2019-0218,6.1,2.8,LOW,NONE,REQUIRED
194,CWE-79,CVE-2019-0219,9.8,3.9,LOW,NONE,NONE
195,CWE-706,CVE-2019-0220,5.3,3.9,LOW,NONE,NONE
196,CWE-79,CVE-2019-0221,6.1,2.8,LOW,NONE,REQUIRED
197,CWE-94,CVE-2019-0222,7.5,3.9,LOW,NONE,NONE
198,CWE-295,CVE-2019-0223,7.4,2.2,HIGH,NONE,NONE
199,CWE-79,CVE-2019-0224,6.1,2.8,LOW,NONE,REQUIRED
200,CWE-22,CVE-2019-0225,7.5,3.9,LOW,NONE,NONE
201,CWE-22,CVE-2019-0226,4.9,1.2,LOW,HIGH,NONE
202,CWE-918,CVE-2019-0227,7.5,1.6,HIGH,NONE,NONE
203,CWE-611,CVE-2019-0228,9.8,3.9,LOW,NONE,NONE
204,CWE-352,CVE-2019-0229,8.8,2.8,LOW,NONE,REQUIRED
205,CWE-915,CVE-2019-0230,9.8,3.9,LOW,NONE,NONE
206,CWE-319,CVE-2019-0231,7.5,3.9,LOW,NONE,NONE
207,CWE-78,CVE-2019-0232,8.1,2.2,HIGH,NONE,NONE
208,CWE-281,CVE-2019-0233,7.5,3.9,LOW,NONE,NONE
209,CWE-79,CVE-2019-0234,6.1,2.8,LOW,NONE,REQUIRED
210,CWE-352,CVE-2019-0235,8.8,2.8,LOW,NONE,REQUIRED
211,CWE-79,CVE-2019-0238,6.1,2.8,LOW,NONE,REQUIRED
212,NVD-CWE-noinfo,CVE-2019-0240,7.5,3.9,LOW,NONE,NONE
213,NVD-CWE-noinfo,CVE-2019-0241,7.5,3.9,LOW,NONE,NONE
214,CWE-862,CVE-2019-0243,8.8,2.8,LOW,LOW,NONE
215,CWE-79,CVE-2019-0244,5.4,2.3,LOW,LOW,REQUIRED
216,CWE-79,CVE-2019-0245,5.4,2.3,LOW,LOW,REQUIRED
217,CWE-306,CVE-2019-0246,9.8,3.9,LOW,NONE,NONE
218,CWE-94,CVE-2019-0247,9.8,3.9,LOW,NONE,NONE
219,NVD-CWE-noinfo,CVE-2019-0248,5.9,2.2,HIGH,NONE,NONE
220,NVD-CWE-noinfo,CVE-2019-0249,7.5,3.9,LOW,NONE,NONE
221,CWE-79,CVE-2019-0251,6.1,2.8,LOW,NONE,REQUIRED
222,CWE-79,CVE-2019-0254,5.4,2.3,LOW,LOW,REQUIRED
223,CWE-20,CVE-2019-0255,8.1,2.8,LOW,LOW,NONE
224,NVD-CWE-noinfo,CVE-2019-0256,5.5,1.8,LOW,LOW,NONE
225,CWE-862,CVE-2019-0257,8.8,2.8,LOW,LOW,NONE
226,CWE-862,CVE-2019-0258,8.8,2.8,LOW,LOW,NONE
227,CWE-434,CVE-2019-0259,9.8,3.9,LOW,NONE,NONE
228,CWE-306,CVE-2019-0261,9.8,3.9,LOW,NONE,NONE
229,CWE-79,CVE-2019-0262,5.4,2.3,LOW,LOW,REQUIRED
230,CWE-611,CVE-2019-0265,4.9,1.2,LOW,HIGH,NONE
231,CWE-532,CVE-2019-0266,7.5,3.9,LOW,NONE,NONE
232,CWE-352,CVE-2019-0267,8.8,2.8,LOW,NONE,REQUIRED
233,CWE-91,CVE-2019-0268,8.1,2.8,LOW,LOW,NONE
234,CWE-79,CVE-2019-0269,5.4,2.3,LOW,LOW,REQUIRED
235,CWE-862,CVE-2019-0270,8.8,2.8,LOW,LOW,NONE
236,CWE-611,CVE-2019-0271,6.5,2.8,LOW,LOW,NONE
237,NVD-CWE-noinfo,CVE-2019-0274,7.5,3.9,LOW,NONE,NONE
238,CWE-79,CVE-2019-0275,5.4,2.3,LOW,LOW,REQUIRED
239,CWE-863,CVE-2019-0276,8.8,2.8,LOW,LOW,NONE
240,CWE-611,CVE-2019-0277,6.5,1.2,LOW,HIGH,NONE
241,NVD-CWE-noinfo,CVE-2019-0278,4.3,2.8,LOW,LOW,NONE
242,CWE-862,CVE-2019-0279,8.8,2.8,LOW,LOW,NONE
243,CWE-862,CVE-2019-0280,8.8,2.8,LOW,LOW,NONE
244,CWE-79,CVE-2019-0281,6.1,2.8,LOW,NONE,REQUIRED
245,CWE-287,CVE-2019-0282,5.3,3.9,LOW,NONE,NONE
246,CWE-290,CVE-2019-0283,7.1,2.8,LOW,LOW,NONE
247,CWE-611,CVE-2019-0284,6.0,0.8,LOW,HIGH,NONE
248,CWE-312,CVE-2019-0285,9.8,3.9,LOW,NONE,NONE
249,NVD-CWE-noinfo,CVE-2019-0287,7.6,2.8,LOW,NONE,REQUIRED
250,NVD-CWE-noinfo,CVE-2019-0289,7.1,2.8,LOW,NONE,REQUIRED
251,NVD-CWE-noinfo,CVE-2019-0291,5.5,1.8,LOW,LOW,NONE
252,CWE-862,CVE-2019-0293,6.5,2.8,LOW,LOW,NONE
253,CWE-79,CVE-2019-0298,6.1,2.8,LOW,NONE,REQUIRED
254,CWE-269,CVE-2019-0301,8.8,2.8,LOW,LOW,NONE
255,CWE-79,CVE-2019-0303,6.1,2.8,LOW,NONE,REQUIRED
256,CWE-94,CVE-2019-0304,9.8,3.9,LOW,NONE,NONE
257,CWE-502,CVE-2019-0305,4.3,2.8,LOW,NONE,REQUIRED
258,NVD-CWE-noinfo,CVE-2019-0306,4.3,2.8,LOW,LOW,NONE
259,CWE-311,CVE-2019-0307,2.4,0.9,LOW,HIGH,NONE
260,CWE-94,CVE-2019-0308,6.8,2.3,LOW,LOW,REQUIRED
261,CWE-79,CVE-2019-0311,6.1,2.8,LOW,NONE,REQUIRED
262,CWE-306,CVE-2019-0312,5.3,3.9,LOW,NONE,NONE
263,NVD-CWE-noinfo,CVE-2019-0314,5.5,1.8,LOW,NONE,REQUIRED
264,NVD-CWE-noinfo,CVE-2019-0315,7.5,3.9,LOW,NONE,NONE
265,CWE-79,CVE-2019-0316,4.8,1.7,LOW,HIGH,REQUIRED
266,NVD-CWE-noinfo,CVE-2019-0318,5.3,1.6,HIGH,LOW,NONE
267,CWE-79,CVE-2019-0319,7.5,3.9,LOW,NONE,NONE
268,CWE-74,CVE-2019-0319,7.5,3.9,LOW,NONE,NONE
269,CWE-79,CVE-2019-0321,6.1,2.8,LOW,NONE,REQUIRED
270,NVD-CWE-noinfo,CVE-2019-0322,7.5,3.9,LOW,NONE,NONE
271,CWE-862,CVE-2019-0325,4.2,1.6,HIGH,LOW,NONE
272,CWE-79,CVE-2019-0326,6.1,2.8,LOW,NONE,REQUIRED
273,CWE-434,CVE-2019-0327,7.2,1.2,LOW,HIGH,NONE
274,CWE-78,CVE-2019-0328,7.2,1.2,LOW,HIGH,NONE
275,CWE-79,CVE-2019-0329,6.1,2.8,LOW,NONE,REQUIRED
276,CWE-94,CVE-2019-0330,9.1,2.3,LOW,HIGH,NONE
277,NVD-CWE-noinfo,CVE-2019-0331,5.3,3.9,LOW,NONE,NONE
278,CWE-79,CVE-2019-0332,6.1,2.8,LOW,NONE,REQUIRED
279,NVD-CWE-noinfo,CVE-2019-0333,6.5,2.8,LOW,LOW,NONE
280,CWE-79,CVE-2019-0334,5.4,2.3,LOW,LOW,REQUIRED
281,CWE-79,CVE-2019-0335,6.1,2.8,LOW,NONE,REQUIRED
282,CWE-79,CVE-2019-0337,6.1,2.8,LOW,NONE,REQUIRED
283,CWE-200,CVE-2019-0338,5.3,3.9,LOW,NONE,NONE
284,CWE-611,CVE-2019-0340,5.4,2.8,LOW,LOW,NONE
285,CWE-732,CVE-2019-0341,8.8,2.8,LOW,LOW,NONE
286,CWE-94,CVE-2019-0343,8.8,2.8,LOW,LOW,NONE
287,CWE-502,CVE-2019-0344,9.8,3.9,LOW,NONE,NONE
288,CWE-918,CVE-2019-0345,9.8,3.9,LOW,NONE,NONE
289,CWE-319,CVE-2019-0346,6.5,2.8,LOW,LOW,NONE
290,CWE-319,CVE-2019-0348,6.5,2.8,LOW,LOW,NONE
291,CWE-862,CVE-2019-0349,7.2,1.2,LOW,HIGH,NONE
292,NVD-CWE-noinfo,CVE-2019-0350,7.5,3.9,LOW,NONE,NONE
293,NVD-CWE-noinfo,CVE-2019-0351,8.8,2.8,LOW,LOW,NONE
294,CWE-200,CVE-2019-0352,7.5,3.9,LOW,NONE,NONE
295,NVD-CWE-noinfo,CVE-2019-0353,3.3,1.8,LOW,LOW,NONE
296,CWE-94,CVE-2019-0355,7.2,1.2,LOW,HIGH,NONE
297,NVD-CWE-noinfo,CVE-2019-0356,4.3,2.8,LOW,LOW,NONE
298,NVD-CWE-noinfo,CVE-2019-0357,6.7,0.8,LOW,HIGH,NONE
299,CWE-79,CVE-2019-0361,6.1,2.8,LOW,NONE,REQUIRED
300,NVD-CWE-noinfo,CVE-2019-0363,7.1,2.8,LOW,LOW,NONE
301,NVD-CWE-noinfo,CVE-2019-0364,4.3,2.8,LOW,LOW,NONE
302,NVD-CWE-noinfo,CVE-2019-0365,7.5,3.9,LOW,NONE,NONE
303,CWE-862,CVE-2019-0367,4.3,2.8,LOW,LOW,NONE
304,CWE-79,CVE-2019-0368,5.4,2.3,LOW,LOW,REQUIRED
305,CWE-79,CVE-2019-0369,5.4,2.3,LOW,LOW,REQUIRED
306,CWE-91,CVE-2019-0370,6.5,3.9,LOW,NONE,NONE
307,CWE-79,CVE-2019-0374,5.4,2.3,LOW,LOW,REQUIRED
308,CWE-79,CVE-2019-0375,5.4,2.3,LOW,LOW,REQUIRED
309,CWE-79,CVE-2019-0376,5.4,2.3,LOW,LOW,REQUIRED
310,CWE-79,CVE-2019-0377,5.4,2.3,LOW,LOW,REQUIRED
311,CWE-79,CVE-2019-0378,5.4,2.3,LOW,LOW,REQUIRED
312,CWE-345,CVE-2019-0379,5.3,3.9,LOW,NONE,NONE
313,CWE-532,CVE-2019-0380,4.9,1.2,LOW,HIGH,NONE
314,CWE-552,CVE-2019-0381,5.5,1.8,LOW,LOW,NONE
315,CWE-79,CVE-2019-0382,5.4,2.3,LOW,LOW,REQUIRED
316,CWE-863,CVE-2019-0383,8.8,2.8,LOW,LOW,NONE
317,CWE-863,CVE-2019-0384,8.8,2.8,LOW,LOW,NONE
318,CWE-79,CVE-2019-0385,6.5,2.3,LOW,LOW,REQUIRED
319,CWE-862,CVE-2019-0386,6.3,2.8,LOW,LOW,NONE
320,CWE-290,CVE-2019-0388,5.3,3.9,LOW,NONE,NONE
321,NVD-CWE-noinfo,CVE-2019-0389,8.8,2.8,LOW,LOW,NONE
322,CWE-200,CVE-2019-0390,4.3,2.8,LOW,LOW,NONE
323,NVD-CWE-noinfo,CVE-2019-0391,4.3,2.8,LOW,LOW,NONE
324,CWE-89,CVE-2019-0393,4.3,2.8,LOW,LOW,NONE
325,CWE-79,CVE-2019-0395,5.4,2.3,LOW,LOW,REQUIRED
326,CWE-20,CVE-2019-0396,7.1,2.8,LOW,LOW,NONE
327,CWE-352,CVE-2019-0398,8.8,2.8,LOW,NONE,REQUIRED
328,NVD-CWE-noinfo,CVE-2019-0399,6.5,2.8,LOW,LOW,NONE
329,NVD-CWE-noinfo,CVE-2019-0402,4.4,0.8,LOW,HIGH,NONE
330,CWE-1236,CVE-2019-0403,9.8,3.9,LOW,NONE,NONE
331,CWE-209,CVE-2019-0404,7.5,3.9,LOW,NONE,NONE
332,CWE-200,CVE-2019-0405,7.5,3.9,LOW,NONE,NONE
333,NVD-CWE-noinfo,CVE-2019-0536,5.5,1.8,LOW,LOW,NONE
334,NVD-CWE-noinfo,CVE-2019-0537,5.5,1.8,LOW,NONE,REQUIRED
335,NVD-CWE-noinfo,CVE-2019-0538,7.8,1.8,LOW,NONE,REQUIRED
336,CWE-787,CVE-2019-0539,7.5,1.6,HIGH,NONE,REQUIRED
337,CWE-601,CVE-2019-0540,5.5,1.8,LOW,NONE,REQUIRED
338,CWE-77,CVE-2019-0541,8.8,2.8,LOW,NONE,REQUIRED
339,CWE-287,CVE-2019-0543,7.8,1.8,LOW,LOW,NONE
340,CWE-200,CVE-2019-0545,7.5,3.9,LOW,NONE,NONE
341,NVD-CWE-noinfo,CVE-2019-0546,7.8,1.8,LOW,NONE,REQUIRED
342,CWE-787,CVE-2019-0547,9.8,3.9,LOW,NONE,NONE
343,CWE-19,CVE-2019-0548,7.5,3.9,LOW,NONE,NONE
